kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_model_snr,koi_num_transits
K00752.01,CONFIRMED,CANDIDATE,1.0,9.48803557,2.9575,615.8,2.26,0.927,793.0,5455.0,4.467,0.14,15.347,35.8,142.0
K00752.02,CONFIRMED,CANDIDATE,0.969,54.4183827,4.507,874.8,2.83,0.927,443.0,5455.0,4.467,0.14,15.347,25.8,25.0
K00753.01,CANDIDATE,CANDIDATE,0.0,19.89913995,1.7822,10829.0,14.6,0.868,638.0,5853.0,4.544,-0.18,15.436,76.3,56.0
K00754.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.736952453,2.40641,8079.2,33.46,0.791,1395.0,5805.0,4.564,-0.52,15.597,505.6,621.0
K00755.01,CONFIRMED,CANDIDATE,1.0,2.525591777,1.6545,603.3,2.75,1.046,1406.0,6031.0,4.438,0.07,15.509,40.9,515.0
K00756.01,CONFIRMED,CANDIDATE,1.0,11.09432054,4.5945,1517.5,3.9,0.972,835.0,6046.0,4.486,-0.08,15.714,66.5,95.0
K00756.02,CONFIRMED,CANDIDATE,1.0,4.13443512,3.1402,686.0,2.77,0.972,1160.0,6046.0,4.486,-0.08,15.714,40.2,240.0
K00756.03,CONFIRMED,CANDIDATE,0.992,2.56658897,2.429,226.5,1.59,0.972,1360.0,6046.0,4.486,-0.08,15.714,15.0,355.0
K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0,7.36178958,5.022,233.7,39.21,1.958,1342.0,6227.0,3.986,0.0,12.66,47.7,185.0
K00757.01,CONFIRMED,CANDIDATE,1.0,16.06864674,3.5347,4914.3,5.76,0.848,600.0,5031.0,4.485,0.16,15.841,161.9,69.0
K00001.01,CONFIRMED,CANDIDATE,0.811,2.470613377,1.74319,14230.9,13.04,0.964,1339.0,5820.0,4.457,-0.06,11.338,4304.3,432.0
K00002.01,CONFIRMED,CANDIDATE,1.0,2.204735417,3.88864,6674.7,16.1,1.952,2048.0,6440.0,4.019,0.14,10.463,5945.9,611.0
K00010.01,CONFIRMED,CANDIDATE,0.998,3.522498429,3.19843,9145.7,14.59,1.451,1521.0,6225.0,4.169,-0.04,13.563,1741.5,384.0
K00112.02,CONFIRMED,CANDIDATE,1.0,3.709214104,2.6302,131.1,1.16,1.022,1206.0,5833.0,4.407,-0.04,12.772,50.6,352.0
K00742.01,FALSE POSITIVE,FALSE POSITIVE,0.0,11.521446064,3.6399,17984.3,150.51,0.848,753.0,5795.0,4.554,-0.2,15.472,622.1,96.0
K00743.01,FALSE POSITIVE,FALSE POSITIVE,0.0,19.40393776,12.2155,8918.7,7.18,0.68,523.0,5043.0,4.591,-0.54,15.487,214.7,71.0
K00744.01,FALSE POSITIVE,FALSE POSITIVE,0.0,19.221388942,4.79843,74284.0,49.29,0.947,698.0,6117.0,4.496,-0.22,15.341,2317.0,55.0
K00745.01,FALSE POSITIVE,FALSE POSITIVE,0.0,16.46983774,9.4378,10478.9,7.94,0.786,595.0,5152.0,4.517,-0.2,15.788,303.4,66.0
K00746.01,CONFIRMED,CANDIDATE,1.0,9.27358173,3.2875,1288.3,2.47,0.696,649.0,4856.0,4.583,-0.3,15.302,87.2,144.0
K00747.01,CONFIRMED,CANDIDATE,1.0,6.02930329,1.5821,1912.7,2.85,0.672,678.0,4537.0,4.648,0.21,15.784,65.4,215.0
K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.696370652,3.6129,397.9,1.58,0.819,1066.0,4989.0,4.504,0.1,15.269,48.2,501.0
K00749.01,CONFIRMED,CANDIDATE,1.0,5.349553819,3.0278,831.0,2.55,0.91,919.0,5185.0,4.44,0.16,15.416,60.6,247.0
K00749.02,CONFIRMED,CANDIDATE,0.98,3.94105221,2.5984,363.3,1.7,0.91,1018.0,5185.0,4.44,0.16,15.416,28.9,322.0
K00749.03,CONFIRMED,CANDIDATE,0.971,8.10904807,3.596,217.4,1.3,0.91,800.0,5185.0,4.44,0.16,15.416,14.1,141.0
K00113.01,FALSE POSITIVE,FALSE POSITIVE,,386.6030528,6.8057,24926.6,41.5,1.58,297.0,5543.0,4.081,0.44,12.394,994.0,
K00750.01,CONFIRMED,CANDIDATE,1.0,21.67699193,3.4555,857.2,2.95,0.828,530.0,4954.0,4.5,0.18,15.377,34.3,62.0
K00751.01,CONFIRMED,CANDIDATE,1.0,4.99677968,2.1717,934.7,2.78,0.847,917.0,5339.0,4.552,0.18,15.861,28.2,208.0
K00769.01,CONFIRMED,CANDIDATE,1.0,4.280963604,2.875,750.8,2.3,0.831,1012.0,5644.0,4.564,-0.14,15.356,61.8,311.0
K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,1.5155,2211.7,4.53,0.831,1452.0,5714.0,4.563,-0.2,15.525,181.1,882.0
K00771.01,FALSE POSITIVE,FALSE POSITIVE,0.0,670.645531,53.412,18090.6,14.14,0.983,196.0,5520.0,4.466,0.48,15.207,642.7,3.0
K00772.01,FALSE POSITIVE,FALSE POSITIVE,0.0,61.2563628,7.633,5123.3,39.87,1.091,505.0,6144.0,4.402,0.0,15.25,85.3,13.0
K00773.01,CONFIRMED,CANDIDATE,1.0,38.3775486,5.588,724.2,2.82,1.036,529.0,5481.0,4.369,0.16,15.172,34.7,37.0
K00757.02,CONFIRMED,CANDIDATE,0.992,41.19725502,4.6297,2213.9,3.86,0.848,439.0,5031.0,4.485,0.16,15.841,51.2,26.0
K00757.03,CONFIRMED,CANDIDATE,1.0,6.252962249,2.5819,1036.9,2.65,0.848,823.0,5031.0,4.485,0.16,15.841,47.1,167.0
K00758.01,CONFIRMED,CANDIDATE,1.0,16.01308419,3.2554,1121.9,3.1,0.826,593.0,5015.0,4.499,0.1,15.39,33.2,65.0
K00759.01,CONFIRMED,CANDIDATE,1.0,32.62876672,4.7971,1804.8,3.36,0.798,506.0,5586.0,4.56,-0.3,15.082,80.0,34.0
K00759.02,CONFIRMED,CANDIDATE,0.978,91.7732862,6.473,652.0,2.12,0.798,359.0,5586.0,4.56,-0.3,15.082,19.1,11.0
K00760.01,CONFIRMED,CANDIDATE,1.0,4.959319244,2.22739,9802.0,12.21,1.082,1103.0,5712.0,4.359,0.1,15.263,696.5,269.0
K00761.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.701287801,3.3827,860.4,6.54,0.91,1222.0,5550.0,4.468,-0.04,15.54,48.3,387.0
K00762.01,CONFIRMED,CANDIDATE,1.0,4.49876511,3.7362,460.0,2.1,0.969,1133.0,6075.0,4.486,-0.12,15.395,29.5,238.0
K00763.01,FALSE POSITIVE,FALSE POSITIVE,0.0,19.651209505,5.2514,11766.3,12.42,1.063,730.0,6074.0,4.391,-0.12,15.536,513.4,59.0
K00115.01,CONFIRMED,CANDIDATE,1.0,5.412203927,2.9472,601.6,2.94,1.087,1093.0,5779.0,4.339,-0.06,12.791,166.7,244.0
K00764.01,CONFIRMED,CANDIDATE,0.998,41.43958662,10.5989,2793.1,5.5,1.046,516.0,5468.0,4.367,0.22,15.4,141.1,33.0
K00765.01,CONFIRMED,CANDIDATE,1.0,8.35389523,2.2514,1041.6,2.52,0.787,790.0,5592.0,4.582,-0.28,15.317,43.4,127.0
K00766.01,CONFIRMED,CANDIDATE,1.0,4.125543472,3.1744,1487.3,4.43,1.103,1243.0,6174.0,4.417,0.1,15.506,128.6,323.0
K00767.01,CONFIRMED,CANDIDATE,1.0,2.816504904,2.50587,16813.7,12.21,0.955,1219.0,5532.0,4.452,0.14,15.052,1406.8,474.0
K00768.01,FALSE POSITIVE,FALSE POSITIVE,0.0,33.93373447,14.561,8503.7,7.34,0.705,430.0,5040.0,4.628,-0.24,15.716,236.1,31.0
K00786.01,CONFIRMED,CANDIDATE,1.0,3.689920099,2.6557,426.7,1.89,0.917,1147.0,5880.0,4.518,-0.06,15.242,35.6,360.0
K00787.01,CONFIRMED,CANDIDATE,1.0,4.431238488,3.15,1010.9,3.25,1.015,1104.0,5714.0,4.428,0.16,15.367,71.1,302.0
K00787.02,CONFIRMED,CANDIDATE,1.0,11.37936986,2.6255,1023.5,3.95,1.015,806.0,5714.0,4.428,0.16,15.367,37.9,109.0
K00788.01,CONFIRMED,CANDIDATE,1.0,26.39432897,3.573,1510.9,3.07,0.763,489.0,5129.0,4.595,0.02,15.234,48.2,51.0
K00116.01,CONFIRMED,CANDIDATE,1.0,13.57078281,3.3539,511.7,2.64,1.012,785.0,5854.0,4.406,-0.12,12.882,88.4,101.0
K00115.02,CONFIRMED,CANDIDATE,1.0,7.12594387,3.0014,192.4,1.79,1.087,997.0,5779.0,4.339,-0.06,12.791,47.1,181.0
K00774.01,FALSE POSITIVE,FALSE POSITIVE,0.014,7.442652004,2.3078,24446.2,15.03,0.956,967.0,6108.0,4.469,-0.3,15.27,835.6,180.0
K00775.01,CONFIRMED,CANDIDATE,1.0,16.38489988,3.0249,1127.1,2.0,0.615,433.0,4126.0,4.661,0.04,15.095,28.9,65.0
K00775.02,CONFIRMED,CANDIDATE,1.0,7.8774163,2.0805,1306.1,2.16,0.615,553.0,4126.0,4.661,0.04,15.095,38.7,135.0
K00775.03,CONFIRMED,CANDIDATE,1.0,36.4454001,4.007,1122.3,1.99,0.615,332.0,4126.0,4.661,0.04,15.095,21.7,27.0
K00776.01,CONFIRMED,CANDIDATE,1.0,3.728732147,2.683,5226.5,6.02,0.809,1023.0,5497.0,4.577,-0.1,15.523,345.2,357.0
K00777.01,CANDIDATE,CANDIDATE,0.999,40.4195037,3.362,6256.0,7.51,0.781,467.0,5446.0,4.507,-0.54,15.487,36.9,36.0
K00778.01,CONFIRMED,CANDIDATE,1.0,2.243380573,1.1196,821.7,1.99,0.564,822.0,4149.0,4.698,-0.32,15.135,38.9,472.0
K00779.01,FALSE POSITIVE,FALSE POSITIVE,0.0,10.405998015,6.5036,14488.8,11.23,0.924,833.0,5746.0,4.393,-0.54,15.562,745.2,117.0
K00780.01,CONFIRMED,CANDIDATE,1.0,2.337437946,1.9982,971.2,2.34,0.765,1070.0,5005.0,4.595,0.14,15.334,82.4,578.0
K00780.02,CANDIDATE,CANDIDATE,0.993,7.2406612,0.558,556.4,19.45,0.765,734.0,5005.0,4.595,0.14,15.334,13.7,168.0
K00115.03,CANDIDATE,CANDIDATE,0.871,3.43591631,3.133,23.2,0.55,1.087,1272.0,5779.0,4.339,-0.06,12.791,8.7,357.0
K00781.01,CONFIRMED,CANDIDATE,1.0,11.59822233,2.5237,2804.5,2.65,0.473,396.0,3688.0,4.79,0.0,15.937,71.0,115.0
K00782.01,CONFIRMED,CANDIDATE,1.0,6.575315881,4.3084,2793.3,5.31,0.989,1015.0,5992.0,4.415,-0.32,15.312,221.1,205.0
K00783.01,CONFIRMED,CANDIDATE,1.0,7.275040844,7.5377,3001.0,4.86,0.867,833.0,5485.0,4.556,0.21,15.08,312.1,188.0
K00784.01,CONFIRMED,CANDIDATE,1.0,19.27153892,2.7594,1219.8,1.93,0.56,393.0,4077.0,4.702,-0.24,15.385,37.1,67.0
K00784.02,CONFIRMED,CANDIDATE,1.0,10.06524317,1.369,1053.3,1.91,0.56,488.0,4077.0,4.702,-0.24,15.385,30.3,126.0
K00785.01,CONFIRMED,CANDIDATE,1.0,12.3935651,3.8896,916.6,2.66,0.75,677.0,5557.0,4.603,-0.4,15.505,35.8,107.0
K00116.02,CONFIRMED,CANDIDATE,0.998,43.84439721,6.802,615.2,2.87,1.012,531.0,5854.0,4.406,-0.12,12.882,83.7,29.0
K00798.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.341913228,3.813,725.3,21.55,0.811,1032.0,5295.0,4.551,-0.02,15.629,39.0,780.0
K00799.01,FALSE POSITIVE,FALSE POSITIVE,0.773,1.626630225,2.1145,1620.6,32.43,0.973,1547.0,5735.0,4.41,-0.18,15.279,103.6,664.0
K00800.01,CONFIRMED,CANDIDATE,1.0,2.711504086,3.0099,837.5,3.12,1.076,1420.0,6214.0,4.442,0.07,15.541,64.5,494.0
K00800.02,CONFIRMED,CANDIDATE,1.0,7.21203748,4.0491,950.4,3.32,1.076,1025.0,6214.0,4.442,0.07,15.541,51.5,165.0
K00789.01,FALSE POSITIVE,FALSE POSITIVE,,14.1798187,2.505,459.9,1.88,0.878,711.0,5799.0,4.539,-0.1,15.727,11.2,
K00790.01,CONFIRMED,CANDIDATE,1.0,8.47237911,2.7245,1123.5,2.59,0.788,751.0,5354.0,4.587,-0.08,15.339,47.6,159.0
K00790.02,CONFIRMED,CANDIDATE,0.989,60.4189369,5.039,931.3,2.36,0.788,390.0,5354.0,4.587,-0.08,15.339,20.1,22.0
K00791.01,CONFIRMED,CANDIDATE,1.0,12.611904345,5.1497,6105.6,7.4,0.919,753.0,5795.0,4.508,-0.02,15.14,277.2,104.0
K00792.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.433769925,1.8868,1976.3,46.58,1.339,1920.0,6017.0,4.22,0.02,15.122,112.6,481.0
K00793.01,FALSE POSITIVE,FALSE POSITIVE,0.0,10.31872301,3.836,871.7,28.59,1.06,876.0,5927.0,4.409,0.07,15.065,38.2,130.0
K00794.01,CONFIRMED,CANDIDATE,1.0,2.539183147,2.4282,382.1,2.06,1.062,1332.0,5519.0,4.35,0.14,15.026,38.9,528.0
K00795.01,CONFIRMED,CANDIDATE,1.0,6.770300385,2.0844,1304.0,2.77,0.679,812.0,5653.0,4.656,-0.84,15.591,50.8,200.0
K00796.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0.444291966,2.0792,10967.4,27.51,0.636,1836.0,5255.0,4.678,-0.72,15.748,299.7,1466.0
K00797.01,CANDIDATE,CANDIDATE,1.0,10.181584004,3.5089,5741.1,7.73,0.836,812.0,5988.0,4.541,-0.52,15.657,183.6,129.0
K00812.02,CONFIRMED,CANDIDATE,1.0,20.06036336,3.3203,1494.7,1.96,0.493,361.0,3950.0,4.754,-0.46,15.954,35.2,59.0
K00812.03,CONFIRMED,CANDIDATE,1.0,46.1842039,4.758,1394.7,1.83,0.493,273.0,3950.0,4.754,-0.46,15.954,26.0,25.0
K00116.04,CONFIRMED,CANDIDATE,0.952,23.9800854,5.351,104.0,1.31,1.012,649.0,5854.0,4.406,-0.12,12.882,17.1,56.0
K00812.04,CONFIRMED,CANDIDATE,0.994,7.82502168,2.186,520.8,1.2,0.493,494.0,3950.0,4.754,-0.46,15.954,15.9,154.0
K00813.01,CONFIRMED,CANDIDATE,1.0,3.895936525,2.3111,8544.8,7.34,0.774,1005.0,5557.0,4.592,-0.3,15.725,370.8,275.0
K00814.01,CONFIRMED,CANDIDATE,0.999,22.36646466,5.228,986.8,2.32,0.734,536.0,5395.0,4.615,-0.34,15.583,32.1,48.0
K00801.01,CONFIRMED,CANDIDATE,1.0,1.625522174,2.38963,7969.0,9.73,1.106,1579.0,5539.0,4.322,0.16,15.001,799.7,657.0
K00802.01,CANDIDATE,CANDIDATE,1.0,19.620346923,2.0038,21724.6,13.6,0.905,643.0,5710.0,4.492,-0.1,15.562,340.5,52.0
K00803.01,FALSE POSITIVE,FALSE POSITIVE,0.0,7.544039,6.222,322.6,17.47,0.824,838.0,5657.0,4.567,-0.18,15.559,14.2,143.0
K00804.01,CONFIRMED,CANDIDATE,1.0,9.02930689,3.1449,1019.8,2.57,0.82,757.0,5349.0,4.526,-0.12,15.387,53.9,146.0
K00805.01,FALSE POSITIVE,FALSE POSITIVE,0.053,10.328035714,7.7915,16917.7,13.28,1.024,843.0,5627.0,4.359,-0.1,15.646,636.8,114.0
K00806.01,CONFIRMED,CANDIDATE,1.0,143.2063047,8.9302,10565.7,8.9,0.867,308.0,5485.0,4.556,0.21,15.403,138.8,9.0
K00116.03,CONFIRMED,CANDIDATE,0.95,6.164876,3.262,55.8,0.79,1.012,1021.0,5854.0,4.406,-0.12,12.882,14.4,207.0
K00806.02,CONFIRMED,CANDIDATE,0.745,60.32494216,6.6188,20280.4,12.19,0.867,411.0,5485.0,4.556,0.21,15.403,347.2,22.0
K00806.03,CONFIRMED,CANDIDATE,,29.1598615,4.803,488.0,1.91,0.867,524.0,5485.0,4.556,0.21,15.403,11.6,
K00807.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.540397253,2.1541,816.1,25.69,0.915,1470.0,5663.0,4.53,0.21,15.974,38.8,842.0
K00808.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.99025443,5.414,589.2,1.7,0.731,918.0,4667.0,4.578,0.1,15.842,48.5,454.0
K00809.01,CONFIRMED,CANDIDATE,1.0,1.594745374,1.9604,15044.5,11.3,0.893,1539.0,5934.0,4.491,-0.38,15.53,1009.3,762.0
K00810.01,CONFIRMED,CANDIDATE,1.0,4.783002698,2.335,1008.7,2.5,0.807,886.0,5170.0,4.574,0.18,15.119,70.6,281.0
K00811.01,CONFIRMED,CANDIDATE,1.0,20.50588921,4.0595,2105.5,3.41,0.761,518.0,4905.0,4.544,-0.04,15.398,78.5,69.0
K00812.01,CONFIRMED,CANDIDATE,1.0,3.340218842,1.9104,1632.6,2.03,0.493,656.0,3950.0,4.754,-0.46,15.954,71.6,398.0
K00828.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.507089906,2.0067,1339.2,30.26,0.939,1326.0,5926.0,4.506,-0.04,15.555,64.9,408.0
K00829.01,CONFIRMED,CANDIDATE,1.0,18.64932728,4.4056,893.6,3.12,1.053,701.0,5775.0,4.405,0.16,15.386,46.1,71.0
K00117.02,CONFIRMED,CANDIDATE,1.0,4.90144976,4.1654,140.7,1.7,1.402,1262.0,5847.0,4.191,0.26,12.487,50.6,193.0
K00829.02,CONFIRMED,CANDIDATE,0.998,9.75192101,4.793,418.0,2.76,1.053,870.0,5775.0,4.405,0.16,15.386,28.5,132.0
K00829.03,CONFIRMED,CANDIDATE,1.0,38.5576546,5.794,993.0,4.02,1.053,550.0,5775.0,4.405,0.16,15.386,39.7,37.0
K00830.01,CONFIRMED,CANDIDATE,0.99,3.525632539,2.59959,22335.0,11.58,0.793,975.0,5150.0,4.572,0.08,15.224,1996.7,382.0
K00815.01,CANDIDATE,CANDIDATE,1.0,34.84398644,2.9315,4523.6,7.61,0.871,511.0,5509.0,4.482,-0.16,15.684,76.8,40.0
K00816.01,CONFIRMED,CANDIDATE,1.0,7.748094239,3.5957,2472.1,5.52,1.085,964.0,5973.0,4.439,0.36,15.67,113.2,133.0
K00817.01,CONFIRMED,CANDIDATE,1.0,23.96793669,3.827,1182.3,1.8,0.524,329.0,3747.0,4.728,0.1,15.414,27.5,43.0
K00817.02,CONFIRMED,CANDIDATE,0.995,8.29561738,1.3421,824.3,1.82,0.524,469.0,3747.0,4.728,0.1,15.414,17.9,119.0
K00818.01,CONFIRMED,CANDIDATE,1.0,8.11437482,2.2736,1558.0,2.1,0.517,460.0,3692.0,4.753,0.28,15.877,56.4,167.0
K00819.01,FALSE POSITIVE,FALSE POSITIVE,0.0,38.036729482,4.34617,82871.6,27.5,0.932,500.0,5575.0,4.521,0.36,15.472,1300.0,26.0
K00820.01,CANDIDATE,CANDIDATE,0.0,4.64090031,35.512,2450.6,30.09,0.826,1155.0,6463.0,4.5,-1.66,15.27,296.9,227.0
K00011.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.747838198,5.0642,616.0,13.65,0.826,1031.0,5514.0,4.569,-0.04,13.496,138.2,358.0
K00117.01,CONFIRMED,CANDIDATE,0.992,14.74914825,6.0995,430.2,2.89,1.402,874.0,5847.0,4.191,0.26,12.487,107.4,72.0
K00821.01,CONFIRMED,CANDIDATE,1.0,21.81295996,4.3791,1175.4,3.38,0.999,639.0,5601.0,4.41,0.08,15.54,37.8,45.0
K00822.01,FALSE POSITIVE,FALSE POSITIVE,0.0,7.91936937,3.3148,15148.1,10.34,0.776,814.0,5690.0,4.588,-0.4,15.805,389.0,132.0
K00823.01,CANDIDATE,CANDIDATE,,1.028436523,1.8606,8098.0,72.77,0.99,1947.0,6228.0,4.428,-0.44,15.202,89.6,
K00824.01,CONFIRMED,CANDIDATE,1.0,15.37562369,3.3169,15337.0,11.01,0.833,600.0,4986.0,4.496,0.16,16.422,166.0,50.0
K00825.01,CONFIRMED,CANDIDATE,1.0,8.10363271,3.161,887.9,2.11,0.732,687.0,4861.0,4.574,-0.08,15.289,39.3,131.0
K00825.02,CONFIRMED,CANDIDATE,1.0,4.71510843,2.506,417.5,1.46,0.732,823.0,4861.0,4.574,-0.08,15.289,21.3,208.0
K00826.01,CONFIRMED,CANDIDATE,1.0,6.365839713,2.9721,780.7,2.44,0.849,914.0,5776.0,4.554,-0.18,15.09,70.8,216.0
K00827.01,FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,3.065,962.4,3.86,0.997,1047.0,6108.0,4.471,-0.08,15.546,50.3,181.0
K00839.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.446737317,4.7211,1177.9,26.25,0.863,1261.0,5764.0,4.548,-0.12,15.021,110.2,552.0
K00840.01,CONFIRMED,CANDIDATE,1.0,3.04033046,1.8411,10858.8,8.99,0.791,1021.0,5035.0,4.519,-0.06,15.028,568.2,440.0
K00841.01,CONFIRMED,CANDIDATE,1.0,15.33528675,3.897,3081.4,5.0,0.817,610.0,5251.0,4.581,0.21,15.855,86.6,85.0
K00117.04,CONFIRMED,CANDIDATE,0.998,7.95825328,4.377,50.0,1.06,1.402,1074.0,5847.0,4.191,0.26,12.487,14.7,109.0
K00841.02,CONFIRMED,CANDIDATE,1.0,31.33046135,5.176,5073.8,6.5,0.817,481.0,5251.0,4.581,0.21,15.855,117.2,46.0
K00831.01,FALSE POSITIVE,FALSE POSITIVE,0.006,3.9043425,3.831,16228.4,12.28,0.898,1104.0,5810.0,4.526,-0.06,15.016,323.4,275.0
K00832.01,FALSE POSITIVE,FALSE POSITIVE,0.0,9.286358079,3.49949,44791.4,17.61,0.821,796.0,5670.0,4.523,-0.4,15.365,1671.1,117.0
K00833.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.951405455,2.1862,2453.9,31.44,0.869,1133.0,6046.0,4.539,-0.38,15.446,117.2,272.0
K00834.01,CONFIRMED,CANDIDATE,0.999,23.65369415,8.2183,3341.8,7.89,1.384,731.0,5739.0,4.191,0.3,15.084,266.3,57.0
K00834.02,CONFIRMED,CANDIDATE,0.996,13.23352214,6.7372,504.6,3.06,1.384,888.0,5739.0,4.191,0.3,15.084,49.1,97.0
K00834.03,CONFIRMED,CANDIDATE,0.997,6.15560285,4.9843,285.0,2.32,1.384,1146.0,5739.0,4.191,0.3,15.084,35.1,203.0
K00834.04,CONFIRMED,CANDIDATE,1.0,2.090811305,3.388,115.9,1.62,1.384,1642.0,5739.0,4.191,0.3,15.084,19.9,527.0
K00117.03,CONFIRMED,CANDIDATE,0.995,3.180027898,3.5797,120.3,1.53,1.402,1458.0,5847.0,4.191,0.26,12.487,50.4,323.0
K00834.05,CONFIRMED,CANDIDATE,0.989,50.4467417,7.159,370.3,2.67,1.384,568.0,5739.0,4.191,0.3,15.084,19.4,22.0
K00835.01,CONFIRMED,CANDIDATE,1.0,11.76307164,2.9076,1037.3,2.35,0.756,616.0,4959.0,4.603,0.16,15.208,48.9,88.0
K00835.02,CONFIRMED,CANDIDATE,0.878,56.2279271,3.57,862.7,2.37,0.756,366.0,4959.0,4.603,0.16,15.208,20.9,18.0
K00836.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.384052875,3.0918,1268.1,17.06,0.701,1010.0,4794.0,4.58,-0.22,15.836,50.5,549.0
K00837.01,CONFIRMED,CANDIDATE,1.0,7.953547,2.6312,875.4,2.25,0.779,696.0,4768.0,4.536,0.18,15.66,38.4,166.0
K00837.02,CONFIRMED,CANDIDATE,1.0,4.14451656,2.3421,391.8,1.48,0.779,864.0,4768.0,4.536,0.18,15.66,22.8,316.0
K00838.01,FALSE POSITIVE,FALSE POSITIVE,0.0,4.859386384,2.2757,6044.3,38.33,0.988,1114.0,6072.0,4.47,-0.1,15.311,269.7,273.0
K00850.01,CONFIRMED,CANDIDATE,0.999,10.526294577,2.5211,9768.0,8.24,0.793,713.0,5386.0,4.553,-0.2,15.305,482.3,129.0
K00851.01,CONFIRMED,CANDIDATE,1.0,4.583520948,2.7055,3812.1,5.39,0.877,1038.0,5815.0,4.54,-0.12,15.287,99.5,297.0
K00852.01,CONFIRMED,CANDIDATE,0.876,3.76181843,3.5176,510.6,2.66,0.949,1121.0,5653.0,4.472,0.1,15.257,35.9,273.0
K00853.01,CONFIRMED,CANDIDATE,1.0,8.20396958,2.9667,1024.4,3.01,0.826,742.0,5015.0,4.499,0.1,15.376,54.4,162.0
K00853.02,CONFIRMED,CANDIDATE,1.0,14.49645186,4.016,647.5,3.01,0.826,613.0,5015.0,4.499,0.1,15.376,25.7,89.0
K00841.03,CONFIRMED,CANDIDATE,1.0,6.54626149,2.75,655.9,2.19,0.817,810.0,5251.0,4.581,0.21,15.855,24.8,200.0
K00842.01,CONFIRMED,CANDIDATE,1.0,12.71809866,3.0957,1149.4,2.31,0.686,562.0,4702.0,4.592,-0.22,15.389,52.7,107.0
K00842.02,CONFIRMED,CANDIDATE,0.999,36.06588163,4.3246,1563.8,2.64,0.686,397.0,4702.0,4.592,-0.22,15.389,51.7,38.0
K00843.01,CONFIRMED,CANDIDATE,1.0,4.190425659,2.8589,2877.4,6.21,1.135,1234.0,6073.0,4.392,0.2,15.27,240.6,318.0
K00844.01,CONFIRMED,CANDIDATE,1.0,3.709870784,3.0694,2020.3,4.35,0.978,1151.0,5727.0,4.463,0.14,15.581,116.1,279.0
K00845.01,CONFIRMED,CANDIDATE,1.0,16.3297527,6.271,1187.5,3.75,0.987,727.0,5878.0,4.444,-0.06,15.447,74.6,85.0
K00846.01,CONFIRMED,CANDIDATE,0.985,27.807566216,4.21587,25391.1,13.84,0.785,554.0,5862.0,4.584,-0.52,15.482,748.1,50.0
K00847.01,CONFIRMED,CANDIDATE,0.942,80.8723469,11.195,3604.6,7.59,1.238,452.0,5510.0,4.222,0.16,15.201,160.9,17.0
K00848.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.166465862,2.9381,4357.2,26.82,0.704,954.0,4968.0,4.575,-0.36,15.999,122.1,320.0
K00118.01,CONFIRMED,CANDIDATE,0.912,24.99324319,5.9409,269.6,2.29,1.317,712.0,5718.0,4.181,0.0,12.377,62.0,53.0
K00849.01,CONFIRMED,CANDIDATE,1.0,10.35533116,3.1775,750.6,2.47,0.918,777.0,5501.0,4.462,0.02,15.018,49.2,127.0
K00867.01,CONFIRMED,CANDIDATE,1.0,16.08518937,3.984,1442.4,3.68,0.826,613.0,5239.0,4.523,0.0,15.219,62.6,82.0
K00868.01,CANDIDATE,CANDIDATE,0.998,235.9986399,8.2284,20714.6,10.59,0.657,188.0,4245.0,4.627,0.12,15.172,271.8,6.0
K00869.01,CONFIRMED,CANDIDATE,1.0,7.49018305,2.7297,1123.6,2.56,0.787,753.0,5103.0,4.562,0.04,15.599,53.0,178.0
K00869.02,CONFIRMED,CANDIDATE,1.0,36.2761238,4.7865,1572.6,3.03,0.787,445.0,5103.0,4.562,0.04,15.599,45.5,39.0
K00869.03,CONFIRMED,CANDIDATE,1.0,17.46087931,2.2641,812.4,2.32,0.787,568.0,5103.0,4.562,0.04,15.599,22.6,69.0
K00854.01,CONFIRMED,CANDIDATE,0.996,56.0560754,4.685,1626.0,1.94,0.491,233.0,3593.0,4.757,0.26,15.849,27.4,24.0
K00855.01,CONFIRMED,CANDIDATE,0.974,41.408316686,5.0264,22838.9,11.38,0.747,453.0,5522.0,4.586,-0.46,15.196,907.8,33.0
